n_of_job,n_of_family,problem,iteration,seed1,seed2,SA_P1_time,SA_P1_bin,SA_P1_fitness,SA_CP_time,SA_CP_fitness,Tabu_P1_time,TabuA_P1_bin,Tabu_P1_fitness,Tabu_CP_time,Tabu_CP_fitness
120,6,3,0,45,42,99.0444,42,1762,10.0491,1453,61.6371,42,1366,10.0652,1184
120,6,3,1,45,43,96.3842,42,1685,10.0944,1293,60.3619,42,1392,10.0642,1275
120,6,3,2,45,44,97.3638,42,1674,10.0776,1381,59.4971,42,1594,10.0698,1309
120,6,3,3,45,45,96.1912,42,1808,10.0673,1444,58.9545,42,1435,10.0728,1316
120,6,3,4,45,46,96.8712,42,1554,12.1119,1259,56.3348,42,1692,12.0264,1439
120,6,3,5,45,47,93.6825,42,1794,11.8365,1419,57.8041,42,1565,11.8664,1248
120,6,3,6,45,48,94.3203,42,1542,11.8723,1286,59.241,42,1394,10.0757,1235
120,6,3,7,45,49,93.3546,42,1739,10.0574,1361,55.7806,42,1603,12.0435,1428
120,6,3,8,45,50,90.1134,42,1902,12.1696,1547,56.0077,42,1511,12.1312,1308
120,6,3,9,45,51,96.3829,42,1690,10.0588,1436,60.7098,42,1377,10.07,1218
120,6,4,0,46,42,85.7357,37,1881,12.0937,1685,50.8318,37,1774,12.1058,1549
120,6,4,1,46,43,86.165,38,1641,10.0622,1392,51.867,37,1729,10.0732,1530
120,6,4,2,46,44,88.1514,37,1718,10.0471,1531,53.7118,37,1683,10.0685,1468
120,6,4,3,46,45,83.675,37,1811,12.1509,1598,50.0234,38,1649,10.0664,1535
120,6,4,4,46,46,88.7938,37,1947,10.0551,1702,55.3097,37,1766,10.066,1484
120,6,4,5,46,47,89.936,38,1822,10.0582,1628,51.8763,37,1583,10.0682,1462
